date,idr,myr,php,sgd,thb,ret_idr,ret_myr,ret_php,ret_sgd,ret_thb
2014-06-06,11823,3.222,43.814,1.2529,32.583,-0.4304348967506755,-0.3408213988513431,-0.1915359943456263,-0.3744278423435221,-0.3094981556452048
2014-06-09,11790,3.1975,43.668,1.2509,32.45,-0.2795072331696957,-0.7633030283922038,-0.3337832595284862,-0.1597572030811345,-0.4090236815909698
2014-06-10,11806,3.202,43.558,1.2507,32.476,0.13561622692179753,0.14063601036622408,-0.25221850896057774,-0.015989766583474063,0.08009118501011159
2014-06-11,11803,3.2035,43.659,1.2504,32.482,-0.02541403715650148,0.04683475224163125,0.23160632708818518,-0.02398944475940079,0.01847347522110354
2014-06-12,11813,3.214,NA,1.2499,32.473,0.08468835194506141,0.32723052183816215,NA,-0.03999520110906929,-0.027711492749116218
2014-06-13,11781,3.21,43.757,1.2479,32.407,-0.27125557024003655,-0.12453301733963418,NA,-0.16014095823674857,-0.2034525979227375
2014-06-16,11814,3.223,43.788,1.2506,32.372,0.27972046210607004,0.4041665691376428,0.07082072373223447,0.21612976193888522,-0.10805972122374108
2014-06-17,11863,3.229,43.879,1.2525,32.432,0.41390437939234914,0.18598889428373955,0.20760384793292452,0.15181178258223127,0.18517380761888802
2014-06-18,11978,3.2345,43.951,1.2541,32.499,0.9647321163303246,0.17018647257649455,0.16395312792525374,0.12766298709842583,0.20637299218959626
2014-06-19,11916,3.2203,44.017,1.2484,32.418,-0.5189598991233169,-0.43998335835637725,0.15005459345220906,-0.45554524333797364,-0.24954955415563695
2014-06-20,11967,3.219,43.872,1.2493,32.467,0.427082674034196,-0.04037706016684073,-0.32996195555106134,0.07206630411592807,0.15103647781429252
2014-06-23,11971,3.2155,43.786,1.2485,32.445,0.03341966778549477,-0.10878857238902917,-0.19621717947595485,-0.0640563717955761,-0.06778407949949994
2014-06-24,12000,3.214,NA,1.2491,32.453,0.241959151876614,-0.04665992774599559,NA,0.04804612520357965,0.02465407266951658
2014-06-25,12027,3.2285,43.858,1.251,32.475,0.22474725404801887,0.4501365769063792,NA,0.151993949504739,0.06776737568365832
2014-06-26,12091,3.2175,43.919,1.2486,32.466,0.5307251863630569,-0.34129725962399604,0.138988595691103,-0.192030783926736,-0.02771746680103604
2014-06-27,12103,3.208,43.835,1.2486,32.478,0.09919815643559815,-0.2956970483876553,-0.19144432312061532,0,0.03695491542430318
2014-06-30,11969,3.2105,43.78,1.249,32.448,-1.1133381865233716,0.0778998247698004,-0.12554929458321595,0.032030749793407476,-0.09241290741779373
2014-07-01,11798,3.208,43.647,1.2463,NA,-1.43899483103489,-0.0778998247698004,-0.3042540693355633,-0.2164069293246612,NA
2014-07-02,11854,3.206,43.595,1.2464,32.388,0.4735337784762095,-0.062363581690694225,-0.11920865215828691,0.008023428415263045,NA
2014-07-03,11963,3.2065,43.613,1.2484,32.396,0.9153189823122077,0.015594541941954532,0.04128061704342656,0.1603335280140561,0.024697456287547936
2014-07-07,11787,3.1878,43.541,1.2463,32.397,-1.4821323944335774,-0.5848975903965048,-0.16522481212462026,-0.16835695642931914,0.003086753198910941
2014-07-08,11695,3.1785,43.478,1.246,32.399,-0.7835829208289624,-0.2921636308489184,-0.1447959893979167,-0.024074148493269387,0.006173220571126237
2014-07-09,NA,NA,43.445,1.2429,32.319,NA,NA,-0.07592927438180297,-0.24910615959327087,-0.24722655442785957
2014-07-10,11549,3.172,43.342,1.2413,32.165,NA,NA,-0.23736285010302893,-0.12881412295635553,-0.4776387717201569
2014-07-11,11627,3.1865,43.28,1.2424,NA,0.6731126553519928,0.45608319996102153,-0.14315072519131,0.08857753125750822,NA
2014-07-14,11627,3.177,43.503,1.2414,32.139,0,-0.29857804848327785,0.5139266695641798,-0.08052178549248779,NA
2014-07-15,11709,NA,43.521,1.2425,32.17,0.702779718011648,NA,0.04136789910069716,0.08857039912313625,0.09640953024039334
2014-07-16,11805,3.1945,NA,1.2438,32.156,0.8165393670889642,NA,NA,0.1045730699005154,-0.043528278522053654
2014-07-17,11668,3.183,43.595,1.2418,32.15,-1.1673118532002036,-0.3606432760305367,NA,-0.16092697389964716,-0.01866077820862344
2014-07-18,11706,3.1875,43.554,1.2417,32.197,0.3251478863553814,0.1412762184588967,-0.09409173490197986,-0.008053150799600117,0.14608298244911389
2014-07-21,11577,3.1735,43.595,1.2408,32.038,-1.108115964543721,-0.4401830720156763,0.09409173490197986,-0.07250755604674419,-0.4950582228827827
2014-07-22,11531,3.1763,43.449,1.2406,31.858,-0.3981310434612695,0.08819175978711513,-0.33546283929495324,-0.01611993233119058,-0.5634170406845218
2014-07-23,11498,3.171,43.359,1.2389,31.774,-0.2865953587878778,-0.16700018060487043,-0.20735423520141794,-0.13712444173240024,-0.26401825746145136
2014-07-24,11531,3.1705,43.288,1.2377,31.828,0.2865953587878778,-0.01576913982610506,-0.16388337943809006,-0.09690705757164353,0.1698060217456554
2014-07-25,11591,3.18,43.297,1.2412,31.867,0.51898741176295,0.29918926341363505,0.020788820309336487,0.2823835028248539,0.12245860702955191
